System,metric,h-mean,a-mean,ToyCar,ToyTrain,fan,gearbox,bearing,slider,valve
baseline_MAHALA,AUC (source),0.6712863703322103,0.6865428571428573,0.7266,0.55,0.7876000000000001,0.7042,0.663,0.8266,0.5478000000000001
baseline_MAHALA,AUC (target),0.5036350905326225,0.531342857142857,0.4317999999999999,0.4189999999999999,0.3878,0.7013999999999999,0.5246000000000001,0.7357999999999999,0.5189999999999999
baseline_MAHALA,"pAUC (source, target)",0.5186129021726701,0.5206766917293233,0.4957894736842105,0.4794736842105263,0.5868421052631578,0.5310526315789473,0.4978947368421053,0.5421052631578948,0.511578947368421
baseline_MAHALA,TOTAL score,0.5551995874719601,0.5795208020050125,,,,,,,
baseline_MSE,AUC (source),0.6380671692261545,0.6438,0.6859999999999999,0.5872,0.7096,0.599,0.6696,0.7064,0.5488000000000001
baseline_MSE,AUC (target),0.4836843414236845,0.5018571428571429,0.4891999999999999,0.5662,0.3178,0.598,0.5336,0.4942,0.514
baseline_MSE,"pAUC (source, target)",0.5211908437246894,0.5233082706766917,0.5010526315789474,0.4831578947368421,0.578421052631579,0.5278947368421053,0.4936842105263158,0.5663157894736842,0.5126315789473684
baseline_MSE,TOTAL score,0.5402115300063791,0.5563218045112782,,,,,,,
